1158,"[(19.778750800000001, 76.992278110000001), 7.8879999999999999, {25: [-58.86424346918665, -21.135756530813353], 34: [-49.844193820901566, -30.155806179098434], 45: [-51.89589295264213, -28.10410704735787], 21: [-60.462894337490255, -19.537105662509745], 37: [-45.74432418551888, -34.25567581448112]}]"
1159,"[(19.779069339999999, 77.264355589999994), 22.047999999999998, {26: [-57.09903746781542, -21.90096253218458], 30: [-56.313276104642455, -22.686723895357545]}]"
1160,"[(19.779394050000001, 77.027095660000001), 19.152000000000001, {32: [-56.498808450857496, -23.501191549142504], 34: [-56.29809065283504, -23.701909347164957], 35: [-48.234620393050676, -31.765379606949324], 39: [-60.19160610630959, -19.808393893690408], 41: [-55.22837324191582, -24.77162675808418], 55: [-58.399711610827325, -21.600288389172675], 49: [-58.16244648280093, -21.83755351719907], 50: [-52.912148630746216, -27.087851369253784], 23: [-60.15117106288042, -19.848828937119578], 31: [-58.03549897940499, -21.96450102059501]}]"
1161,"[(19.780281800000001, 76.968671110000002), 15.279999999999999, {25: [-60.359135651226666, -19.640864348773334], 34: [-57.83124566712466, -22.168754332875338], 49: [-57.300016503764894, -22.699983496235106], 37: [-53.449223280274, -26.550776719726002], 45: [-51.79650441963334, -28.203495580366663]}]"
1162,"[(19.782263029999999, 77.095798790000003), 31.167999999999999, {39: [-55.004525811600644, -23.995474188399356], 41: [-59.91355569877352, -19.08644430122648], 42: [-43.8552086058713, -35.1447913941287], 47: [-54.73477524993689, -24.265224750063112], 56: [-59.52571087695688, -19.47428912304312], 57: [-58.97122473200952, -20.028775267990483], 58: [-57.99660548914886, -21.003394510851138], 61: [-59.32534068019427, -19.674659319805727]}]"
1163,"[(19.78467427, 77.159894429999994), 15.071999999999999, {51: [-52.77670171083152, -27.223298289168483], 44: [-53.47582247847845, -26.52417752152155], 38: [-56.74225221530551, -23.257747784694487]}]"
1164,"[(19.785069750000002, 77.068954090000005), 27.216000000000001, {35: [-60.07172962220443, -18.92827037779557], 39: [-47.49141167038792, -31.50858832961208], 41: [-52.42680599004102, -26.573194009958982], 42: [-54.083447275677344, -24.916552724322656], 58: [-57.245339200925315, -21.754660799074685], 63: [-58.63042935628803, -20.369570643711967], 31: [-58.016987861871, -20.983012138129]}]"
1165,"[(19.786915180000001, 77.048877099999999), 17.152000000000001, {35: [-56.18886369762339, -23.81113630237661], 39: [-55.421450358390956, -24.578549641609044], 41: [-47.78707522699216, -32.21292477300784], 42: [-59.62529641201604, -20.37470358798396], 50: [-56.5027269103735, -23.497273089626503], 55: [-54.07177831555006, -25.928221684449937], 58: [-59.79224866998875, -20.20775133001125], 63: [-59.02329065263484, -20.97670934736516], 31: [-57.45431127112447, -22.545688728875533]}]"
1166,"[(19.787936649999999, 77.251714579999998), 0.27200000000000002, {26: [-59.671963437209115, -20.328036562790885], 52: [-60.25861044541165, -19.741389554588352], 54: [-54.23112795017519, -25.768872049824807], 30: [-59.88401332368528, -20.11598667631472]}]"
1167,"[(19.788938049999999, 77.301772850000006), 13.472, {52: [-52.60173120898163, -27.398268791018367], 53: [-55.502710955084524, -24.497289044915476]}]"
1168,"[(19.793258300000002, 77.127332370000005), 19.280000000000001, {56: [-51.41756857477361, -28.58243142522639], 57: [-52.812286932889705, -27.187713067110295], 61: [-58.33350978892673, -21.666490211073267], 29: [-59.89920340049552, -20.100796599504477], 47: [-48.33529511881406, -31.66470488118594]}]"
1169,"[(19.795366779999998, 77.225574449999996), 27.648, {48: [-58.37949048396591, -20.62050951603409], 43: [-51.49831422616299, -27.50168577383701]}]"
1170,"[(19.795618770000001, 76.97024673), 12.032, {49: [-55.397917331731975, -24.602082668268025], 45: [-48.59933857474989, -31.400661425250107]}]"
1171,"[(19.79585505, 77.202240329999995), 17.632000000000001, {48: [-49.576192435174576, -30.423807564825424], 33: [-59.30229048847072, -20.697709511529283], 43: [-48.10561404119741, -31.894385958802587]}]"
1172,"[(19.79879137, 77.01808758), 19.056000000000001, {34: [-58.3606388017197, -21.639361198280298], 35: [-57.603894744046414, -22.396105255953586], 66: [-59.68255804948788, -20.31744195051212], 50: [-38.803153818762596, -41.196846181237404], 55: [-57.012921052748425, -22.987078947251575]}]"
